Site Name,Sub-site,Habitat Type ,Habitat Type Area (acres),Year post-completion,Year,Date Details,Metrics,Values,Units,Metric Groups,Metric Type,Collection Method,Data Collection Frequency,Restoration Goal Met? (Y/N),Metric Significance,Analyzed by who?,Notes
Devereux Slough,Mesa,Coastal Sage Scrub-Chaparral-Grassland Mosaic,10.7,4,2021,Summer 2021,Vegetation Cover-Sub Canopy Thatch,23,Percent Cover,Vegetation Cover,Biological,Point Intercept Transects,Annually,NA,NA,AS,
Devereux Slough,Mesa,Coastal Sage Scrub-Chaparral-Grassland Mosaic,10.7,4,2021,Summer 2021,Vegetation Cover-Sub Canopy Other Ground Cover,17,Percent Cover,Vegetation Cover,Biological,Point Intercept Transects,Annually,NA,NA,AS,
Devereux Slough,Mesa,Perennial Grassland ,16.8,4,2021,Summer 2021,Vegetation Cover-Native,28,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Mesa,Perennial Grassland ,16.8,4,2021,Summer 2021,Vegetation Cover-Non-Native,27,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Mesa,Perennial Grassland ,16.8,4,2021,Summer 2021,Vegetation Cover-Bare Ground,27,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Mesa,Perennial Grassland ,16.8,4,2021,Summer 2021,Vegetation Cover-Thatch,17,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Marsh Trail,Peripheral Scrubland-Grassland Mosaic,8.8,4,2021,Summer 2021,Vegetation Cover-Native,26,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Marsh Trail,Peripheral Scrubland-Grassland Mosaic,8.8,4,2021,Summer 2021,Vegetation Cover-Non-Native,42,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Marsh Trail,Peripheral Scrubland-Grassland Mosaic,8.8,4,2021,Summer 2021,Vegetation Cover-Other Ground Cover,4,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Marsh Trail,Peripheral Scrubland-Grassland Mosaic,8.8,4,2021,Summer 2021,Vegetation Cover-Thatch,17,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Marsh Trail,Peripheral Scrubland-Grassland Mosaic,8.8,4,2021,Summer 2021,Vegetation Cover-Bare Ground,11,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Existing ,1.5,4,2021,Summer 2021,Vegetation Cover-Sub Canopy Native,58,Percent Cover,Vegetation Cover,Biological,Point Intercept Transects,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Existing ,1.5,4,2021,Summer 2021,Vegetation Cover-Sub Canopy Non-Native,1,Percent Cover,Vegetation Cover,Biological,Point Intercept Transects,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Existing ,1.5,4,2021,Summer 2021,Vegetation Cover-Sub Canopy Other Ground Cover,2,Percent Cover,Vegetation Cover,Biological,Point Intercept Transects,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Existing ,1.5,4,2021,Summer 2021,Vegetation Cover-Sub Canopy Bare Ground,2,Percent Cover,Vegetation Cover,Biological,Point Intercept Transects,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Existing ,1.5,4,2021,Summer 2021,Vegetation Cover-Sub Canopy Thatch,37,Percent Cover,Vegetation Cover,Biological,Point Intercept Transects,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,4,2021,Summer 2021,Vegetation Cover-Sub Canopy Native,46,Percent Cover,Vegetation Cover,Biological,Point Intercept Transects,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,4,2021,Summer 2021,Vegetation Cover-Sub Canopy Non-Native,6,Percent Cover,Vegetation Cover,Biological,Point Intercept Transects,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,4,2021,Summer 2021,Vegetation Cover-Sub Canopy Bare Ground,2,Percent Cover,Vegetation Cover,Biological,Point Intercept Transects,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,4,2021,Summer 2021,Vegetation Cover-Sub Canopy Other Ground Cover,20,Percent Cover,Vegetation Cover,Biological,Point Intercept Transects,Annually,NA,NA,AS,
Devereux Slough,"Mesa, Whittier Channel",Riparian Woodland-Restored ,1.7,4,2021,Summer 2021,Vegetation Cover-Sub Canopy Thatch,26,Percent Cover,Vegetation Cover,Biological,Point Intercept Transects,Annually,NA,NA,AS,
Devereux Slough,"Main Channel, East Channel, Devereux Creek",Saltmarsh-Remnant,0.9,4,2021,Summer 2021,Vegetation Cover-Native,60,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,"Main Channel, East Channel, Devereux Creek",Saltmarsh-Remnant,0.9,4,2021,Summer 2021,Vegetation Cover-Non-Native,24,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,"Main Channel, East Channel, Devereux Creek",Saltmarsh-Remnant,0.9,4,2021,Summer 2021,Vegetation Cover-Thatch,16,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,"Main Channel, East Channel, Devereux Creek",Saltmarsh - 6-8 ft Elevation,38.7,4,2021,Summer 2021,Vegetation Cover-Bare Ground,35,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,"Main Channel, East Channel, Devereux Creek",Saltmarsh - 6-8 ft Elevation,38.7,4,2021,Summer 2021,Vegetation Cover-Native,58,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,"Main Channel, East Channel, Devereux Creek",Saltmarsh - 6-8 ft Elevation,38.7,4,2021,Summer 2021,Vegetation Cover-Thatch,2,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,"Main Channel, East Channel, Devereux Creek",Saltmarsh - 6-8 ft Elevation,38.7,4,2021,Summer 2021,Vegetation Cover-Non-Native,5,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,"Main Channel, East Channel, Devereux Creek",Saltmarsh - 8-10 ft Elevation,38.7,4,2021,Summer 2021,Vegetation Cover-Bare Ground,31,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,"Main Channel, East Channel, Devereux Creek",Saltmarsh - 8-10 ft Elevation,38.7,4,2021,Summer 2021,Vegetation Cover-Native,54,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,"Main Channel, East Channel, Devereux Creek",Saltmarsh - 8-10 ft Elevation,38.7,4,2021,Summer 2021,Vegetation Cover-Thatch,9,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,"Main Channel, East Channel, Devereux Creek",Saltmarsh - 8-10 ft Elevation,38.7,4,2021,Summer 2021,Vegetation Cover-Non-Native,6,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,"Main Channel, East Channel, Devereux Creek",Saltmarsh - 10-15 ft Elevation,38.7,4,2021,Summer 2021,Vegetation Cover-Bare Ground,19,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,"Main Channel, East Channel, Devereux Creek",Saltmarsh - 10-15 ft Elevation,38.7,4,2021,Summer 2021,Vegetation Cover-Native,57,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,"Main Channel, East Channel, Devereux Creek",Saltmarsh - 10-15 ft Elevation,38.7,4,2021,Summer 2021,Vegetation Cover-Non-Native,11,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,"Main Channel, East Channel, Devereux Creek",Saltmarsh - 10-15 ft Elevation,38.7,4,2021,Summer 2021,Vegetation Cover-Thatch,12,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,"Main Channel, East Channel, Devereux Creek",Saltmarsh - 10-15 ft Elevation,38.7,4,2021,Summer 2021,Vegetation Cover-Other Ground Cover,1,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,"Main Channel, East Channel, Devereux Creek",Saltmarsh - 15-18 ft Elevation,38.7,4,2021,Summer 2021,Vegetation Cover-Bare Ground,24,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,"Main Channel, East Channel, Devereux Creek",Saltmarsh - 15-18 ft Elevation,38.7,4,2021,Summer 2021,Vegetation Cover-Thatch,21,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,"Main Channel, East Channel, Devereux Creek",Saltmarsh - 15-18 ft Elevation,38.7,4,2021,Summer 2021,Vegetation Cover-Other Ground Cover,1,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,"Main Channel, East Channel, Devereux Creek",Saltmarsh - 15-18 ft Elevation,38.7,4,2021,Summer 2021,Vegetation Cover-Non-Native,6,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,"Main Channel, East Channel, Devereux Creek",Saltmarsh - 15-18 ft Elevation,38.7,4,2021,Summer 2021,Vegetation Cover-Native,48,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Main Channel,Sandflat,3.2,4,2021,Summer 2021,Vegetation Cover-Native,14,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Main Channel,Sandflat,3.2,4,2021,Summer 2021,Vegetation Cover-Non-Native,5,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Main Channel,Sandflat,3.2,4,2021,Summer 2021,Vegetation Cover-Thatch,1,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Main Channel,Sandflat,3.2,4,2021,Summer 2021,Vegetation Cover-Bare Ground,80,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Mesa,Sandy Annuals,1.2,4,2021,Summer 2021,Vegetation Cover-Bare Ground,3,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Mesa,Sandy Annuals,1.2,4,2021,Summer 2021,Vegetation Cover-Native,18,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Mesa,Sandy Annuals,1.2,4,2021,Summer 2021,Vegetation Cover-Thatch,33,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Mesa,Sandy Annuals,1.2,4,2021,Summer 2021,Vegetation Cover-Non-Native,46,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Mesa,Restored Vernal Pools,1.3,4,2021,Summer 2021,Vegetation Cover-Native,28,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Mesa,Restored Vernal Pools,1.3,4,2021,Summer 2021,Vegetation Cover-Non-Native,13,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Mesa,Restored Vernal Pools,1.3,4,2021,Summer 2021,Vegetation Cover-Other Ground Cover,4,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Mesa,Restored Vernal Pools,1.3,4,2021,Summer 2021,Vegetation Cover-Bare Ground,45,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Mesa,Restored Vernal Pools,1.3,4,2021,Summer 2021,Vegetation Cover-Thatch,10,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,East Channel,Brackish Marsh,1.5,4,2021,Summer 2021,Vegetation Cover-Non-Native,20,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,East Channel,Brackish Marsh,1.5,4,2021,Summer 2021,Vegetation Cover-Other Ground Cover,2,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,East Channel,Brackish Marsh,1.5,4,2021,Summer 2021,Vegetation Cover-Bare Ground,7,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,East Channel,Brackish Marsh,1.5,4,2021,Summer 2021,Vegetation Cover-Thatch,14,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,East Channel,Brackish Marsh,1.5,4,2021,Summer 2021,Vegetation Cover-Native,57,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Devereux Creek,Seasonal Pond,1.5,4,2021,Summer 2021,Vegetation Cover-Native,37,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Devereux Creek,Seasonal Pond,1.5,4,2021,Summer 2021,Vegetation Cover-Non-Native,1,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Devereux Creek,Seasonal Pond,1.5,4,2021,Summer 2021,Vegetation Cover-Thatch,1,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Devereux Creek,Seasonal Pond,1.5,4,2021,Summer 2021,Vegetation Cover-Other Ground Cover,32,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
Devereux Slough,Devereux Creek,Seasonal Pond,1.5,4,2021,Summer 2021,Vegetation Cover-Bare Ground,29,Percent Cover,Vegetation Cover,Biological,Transect with Quadrats,Annually,NA,NA,AS,
NBVC Point Mugu,IRP Lower Extension Restoration Site,Estuarine Salt Marsh,0.545,1,2017,August 24,Total Vegetation Cover,62.5,Percent Cover,Vegetation Cover,Biological,Relevé Method,Annually,NA,NA,VW,
NBVC Point Mugu,IRP Lower Extension Reference Site B,Estuarine Salt Marsh,NA,NA,2017,August 24,Total Vegetation Cover,87.5,Percent Cover,Vegetation Cover,Biological,Relevé Method,Annually,NA,NA,VW,
NBVC Point Mugu,IRP Lower Extension Restoration Site,Estuarine Salt Marsh,0.391,NA,2015,August 25,Average Native Cover Transect (Absolute),22.14,Percent Cover,Vegetation Cover,Biological,Randomized Transects,Annually,NA,NA,VW,
NBVC Point Mugu,IRP Lower Extension Restoration Site,Estuarine Salt Marsh,0.391,NA,2015,August 25,Native Releve Cover Class (Relative),15-25,NA,Vegetation Cover,Biological,Randomized Transects,Annually,NA,NA,VW,
NBVC Point Mugu,IRP Lower Extension Reference Site B,Estuarine Salt Marsh,NA,NA,2015,August 25,Average Native Cover Transect (Absolute),100.42,Percent Cover,Vegetation Cover,Biological,Randomized Transects,Annually,NA,NA,VW,
NBVC Point Mugu,IRP Lower Extension Reference Site B,Estuarine Salt Marsh,NA,NA,2015,August 25,Native Releve Cover Class (Relative),25-50,NA,Vegetation Cover,Biological,Randomized Transects,Annually,NA,NA,VW,
NBVC Point Mugu,IRP Lower Extension Restoration Site,Estuarine Salt Marsh,0.545,4,2020,NA,Average Native Cover Transect (Absolute),28,Percent Cover,Vegetation Cover,Biological,Randomized Transects,Annually,NA,NA,VW,
NBVC Point Mugu,IRP Lower Extension Reference Site A,Estuarine Salt Marsh,NA,NA,2020,NA,Average Native Cover Transect (Absolute),67,Percent Cover,Vegetation Cover,Biological,Randomized Transects,Annually,NA,NA,VW,
NBVC Point Mugu,IRP Lower Extension Restoration Site,Estuarine Salt Marsh,0.545,3,2019,NA,Average Native Cover Transect (Absolute),19,Percent Cover,Vegetation Cover,Biological,Randomized Transects,Annually,NA,NA,VW,
NBVC Point Mugu,IRP Lower Extension Reference Site A,Estuarine Salt Marsh,NA,NA,2019,NA,Average Native Cover Transect (Absolute),69,Percent Cover,Vegetation Cover,Biological,Randomized Transects,Annually,NA,NA,VW,
NBVC Point Mugu,IRP Lower Extension Restoration Site,Upland habitat,NA,4,2020,NA,Total Cover (Releve),87.5,Percent Cover,Vegetation Cover,Biological,Randomized Transects,Annually,NA,NA,VW,
NBVC Point Mugu,IRP Lower Extension Restoration Site,Upland habitat,NA,3,2019,NA,Total Cover (Releve),86.5,Percent Cover,Vegetation Cover,Biological,Randomized Transects,Annually,NA,NA,VW,
San Elijo Lagoon,West Basin,NA,NA,Pre-Construction Baseline ,2017,Summer 2017,Average Absolute Cover (Native Species),94.8,%,Vegetation Cover,Biological,Point-intercept transects,Annually,NA,Absolute,PS,
San Elijo Lagoon,Central Basin,NA,NA,Pre-Construction Baseline ,2017,Summer 2017,Average Absolute Cover (Native Species),96.1,%,Vegetation Cover,Biological,Point-intercept transects,Annually,NA,Absolute,PS,
San Elijo Lagoon,East Basin,NA,NA,Pre-Construction Baseline ,2017,Summer 2017,Average Absolute Cover (Native Species),106.7,%,Vegetation Cover,Biological,Point-intercept transects,Annually,NA,Absolute,PS,
San Elijo Lagoon,All Basins,NA,NA,Pre-Construction Baseline ,2017,Summer 2017,Average Absolute Cover (Native Species),99.2,%,Vegetation Cover,Biological,Point-intercept transects,Annually,NA,Absolute,PS,
San Elijo Lagoon,West Basin,NA,NA,Pre-Construction Baseline ,2017,Summer 2017,Average Cover (Bare Ground),11.3,%,Vegetation Cover,Biological,Quadrats,Annually,NA,Absolute,PS,
San Elijo Lagoon,Central Basin,NA,NA,Pre-Construction Baseline ,2017,Summer 2017,Average Cover (Bare Ground),20.4,%,Vegetation Cover,Biological,Quadrats,Annually,NA,Absolute,PS,
San Elijo Lagoon,East Basin,NA,NA,Pre-Construction Baseline ,2017,Summer 2017,Average Cover (Bare Ground),34.7,%,Vegetation Cover,Biological,Quadrats,Annually,NA,Absolute,PS,
San Elijo Lagoon,All Basins,NA,NA,Pre-Construction Baseline ,2017,Summer 2017,Average Cover (Bare Ground),22.1,%,Vegetation Cover,Biological,Quadrats,Annually,NA,Absolute,PS,
San Elijo Lagoon,West Basin,NA,NA,Pre-Construction Baseline ,2017,2017,Average Cover (Total Nonnative),0.5,%,Vegetation Cover,Biological,Quadrats,Annually,NA,Absolute,PS,
San Elijo Lagoon,Central Basin,NA,NA,Pre-Construction Baseline ,2017,2017,Average Cover (Total Nonnative),0.5,%,Vegetation Cover,Biological,Quadrats,Annually,NA,Absolute,PS,
San Elijo Lagoon,East Basin,NA,NA,Pre-Construction Baseline ,2017,2017,Average Cover (Total Nonnative),15.7,%,Vegetation Cover,Biological,Quadrats,Annually,NA,Absolute,PS,
San Elijo Lagoon,All Basins,NA,NA,Pre-Construction Baseline ,2017,2017,Average Cover (Total Nonnative),5.6,%,Vegetation Cover,Biological,Quadrats,Annually,NA,Absolute,PS,
San Elijo Lagoon,West Basin,NA,NA,Pre-Construction Baseline ,2017,2017,Average Cover (Total Native),88.8,%,Vegetation Cover,Biological,Quadrats,Annually,NA,Absolute,PS,
San Elijo Lagoon,Central Basin,NA,NA,Pre-Construction Baseline ,2017,2017,Average Cover (Total Native),79.1,%,Vegetation Cover,Biological,Quadrats,Annually,NA,Absolute,PS,
San Elijo Lagoon,East Basin,NA,NA,Pre-Construction Baseline ,2017,2017,Average Cover (Total Native),49.6,%,Vegetation Cover,Biological,Quadrats,Annually,NA,Absolute,PS,
San Elijo Lagoon,All Basins,NA,NA,Pre-Construction Baseline ,2017,2017,Average Cover (Total Native),72.5,%,Vegetation Cover,Biological,Quadrats,Annually,NA,Absolute,PS,
San Elijo Lagoon,NA,Eelgrass,NA,Pre-Construction Baseline ,2017,"October 9 & 17, 2017",Eelgrass Spatial Distribution,716,m^2,Vegetation Cover,Biological,Parallel transects/3-D sidescan sonar,Annually,NA,Absolute,PS,
San Elijo Lagoon,NA,Eelgrass,NA,Pre-Construction Baseline ,2017,"October 9 & 17, 2017",Eelgrass Areal Extent ,19,m^2,Vegetation Cover,Biological,Parallel transects/3-D sidescan sonar,Annually,NA,Absolute,PS,
San Elijo Lagoon,NA,Eelgrass,NA,Pre-Construction Baseline ,2017,"October 9 & 17, 2017",Eelgrass Vegetated Cover,0.9,m^2,Vegetation Cover,Biological,Parallel transects/3-D sidescan sonar,Annually,NA,Absolute,PS,
San Elijo Lagoon,NA,Eelgrass,NA,Pre-Construction Baseline ,2017,"October 9 & 17, 2017",Eelgrass Percent Vegetated Cover,4.7,%,Vegetation Cover,Biological,Parallel transects/3-D sidescan sonar,Annually,NA,Absolute,PS,
San Elijo Lagoon,NA,Caulerpa,NA,Pre-Construction Baseline ,2017,"October 9 & 17, 2017",Eelgrass Detection,NA,NA,Vegetation Cover,Biological,Parallel transects/3-D sidescan sonar,Annually,NA,Absolute,PS,
Bolsa Chica Lowlands,NA,NA,NA,1,2007,January 2007,Southern Coastal Salt Marsh,228,Acres,Vegetation Cover,Biological,aerial photography,Annually,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,1,2007,January 2007,Disturbed Coastal Salt Marsh,18,Acres,Vegetation Cover,Biological,aerial photography,Annually,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,1,2007,January 2007,Mulefat Scrub,1,Acres,Vegetation Cover,Biological,aerial photography,Annually,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,1,2007,January 2007,Coastal Sage Scrub,1,Acres,Vegetation Cover,Biological,aerial photography,Annually,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,1,2007,January 2007,Coastal and valley Freshwater Marsh,5,Acres,Vegetation Cover,Biological,aerial photography,Annually,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,1,2007,January 2007,Southern Arroyo Willow Riparian Forest,1,Acres,Vegetation Cover,Biological,aerial photography,Annually,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,1,2007,January 2007,Decaying/Transitional Vegetation,54,Acres,Vegetation Cover,Biological,aerial photography,Annually,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,1,2007,January 2007,Non-native Vegetation,5,Acres,Vegetation Cover,Biological,aerial photography,Annually,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,1,2007,January 2007,Salt Panne,167,Acres,Vegetation Cover,Biological,aerial photography,Annually,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,1,2007,January 2007,Disturbed Salt Panne,18,Acres,Vegetation Cover,Biological,aerial photography,Annually,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,1,2007,January 2007,Intertidal Sand Shoal,4,Acres,Vegetation Cover,Biological,aerial photography,Annually,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,1,2007,January 2007,Intertidal Mudflat,99,Acres,Vegetation Cover,Biological,aerial photography,Annually,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,1,2007,January 2007,Open Water,221,Acres,Vegetation Cover,Biological,aerial photography,Annually,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,1,2007,January 2007,Unvegetated Nest Site,21,Acres,Vegetation Cover,Biological,aerial photography,Annually,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,1,2007,January 2007,Urban/Developed,151,Acres,Vegetation Cover,Biological,aerial photography,Annually,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,2,2008,May 2008,Southern Coastal Salt Marsh,227.2,Acres,Vegetation Cover,Biological,aerial photography,Quarterly,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,2,2008,May 2008,Disturbed Coastal Salt Marsh,17.5,Acres,Vegetation Cover,Biological,aerial photography,Quarterly,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,2,2008,May 2008,Mulefat Scrub,0.1,Acres,Vegetation Cover,Biological,aerial photography,Quarterly,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,2,2008,May 2008,Coastal Sage Scrub,<0.1,Acres,Vegetation Cover,Biological,aerial photography,Quarterly,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,2,2008,May 2008,Coastal and valley Freshwater Marsh,6.5,Acres,Vegetation Cover,Biological,aerial photography,Quarterly,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,2,2008,May 2008,Southern Arroyo Willow Riparian Forest,0.7,Acres,Vegetation Cover,Biological,aerial photography,Quarterly,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,2,2008,May 2008,Decaying/Transitional Vegetation,2.4,Acres,Vegetation Cover,Biological,aerial photography,Quarterly,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,2,2008,May 2008,Non-native Vegetation,25.3,Acres,Vegetation Cover,Biological,aerial photography,Quarterly,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,2,2008,May 2008,Salt Panne,189.6,Acres,Vegetation Cover,Biological,aerial photography,Quarterly,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,2,2008,May 2008,Disturbed Salt Panne,6,Acres,Vegetation Cover,Biological,aerial photography,Quarterly,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,2,2008,May 2008,Intertidal Sand Shoal,9.8,Acres,Vegetation Cover,Biological,aerial photography,Quarterly,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,2,2008,May 2008,Intertidal Mudflat,91,Acres,Vegetation Cover,Biological,aerial photography,Quarterly,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,2,2008,May 2008,Open Water,261,Acres,Vegetation Cover,Biological,aerial photography,Quarterly,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,2,2008,2008,Unvegetated Nest Site,9.6,Acres,Vegetation Cover,Biological,aerial photography,Quarterly,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,2,2008,2008,Urban/Developed,135.1,Acres,Vegetation Cover,Biological,aerial photography,Quarterly,NA,NA,PS,
Bolsa Chica Lowlands,NA,NA,NA,2,2008,2008,Cordgrass ,<0.1,Acres,Vegetation Cover,Biological,aerial photography,Quarterly,NA,NA,PS,
Bolsa Chica Lowlands,RI 1,"OW,IM,DTV,UNS,ISS ",391.2,2,2008,2008,Total Percent Vegetative Cover Without Overlap (all species),58,%,Vegetation Cover,Biological,vegetation transects,Annually,NA,NA,PS,
Bolsa Chica Lowlands,RI 2,"OW,IM,DTV,UNS,ISS ",391.2,2,2008,2008,Total Percent Vegetative Cover Without Overlap (all species),80,%,Vegetation Cover,Biological,vegetation transects,Annually,NA,NA,PS,
Bolsa Chica Lowlands,RI 3,"OW,IM,DTV,UNS,ISS ",391.2,2,2008,2008,Total Percent Vegetative Cover Without Overlap (all species),76,%,Vegetation Cover,Biological,vegetation transects,Annually,NA,NA,PS,
